lang_description,lang_code,constant_name,definition
Korean,kr,Abn,비정상
Korean,kr,ABN1,ABN1
Korean,kr,Abnormal,비정상
Korean,kr,Abnormal Blood Test,혈액검사 비정상
Korean,kr,Abnormal Hair Growth,모발자람 비정상
Korean,kr,Abnormal Mammogram,유방쵤영 비정상
Korean,kr,Abort,중단
Korean,kr,Abortion,유산
Korean,kr,Abortion Issues,낙태 문제
Korean,kr,Abortion Method,유산 방법
Korean,kr,Abortion-Related Categories,유산 관련 범주
Korean,kr,Abortions,유산
Korean,kr,About,요약
Korean,kr,About Portal Dashboard,포털 대시 보드 정보
Korean,kr,About the calendar,달력에 대하여
Korean,kr,About Your Portal,포털 정보
Korean,kr,Above upper panic limits,상단 공황 한계 이상
Korean,kr,Absences by Diagnosis,진단 결석
Korean,kr,Accept,승인
Korean,kr,Accept Assignment,지정을 받아 들인다
Korean,kr,Accept Payment for,에 대한 지불을 수락
Korean,kr,Accept Payment for ,에 대한 지불을 수락
Korean,kr,Accepts Assignment,할당 받아
Korean,kr,Access Control,액세스 제어
Korean,kr,Access Control List Administration,액세스 제어 목록 관리
Korean,kr,Access Control List Help,액세스 제어 목록 도움말
Korean,kr,Access Control Lists,액세스 제어 목록
Korean,kr,Access date,액세스 한 날짜
Korean,kr,Access denied,접근 불가
Korean,kr,Access is then granted selectively to portions of the program on a need to know basis.,그런 다음 프로그램의 일부에 선택적으로 액세스 할 수 있어야합니다.
Korean,kr,access not allowed,액세스는 허용되지 않습니다
Korean,kr,Access not allowed,액세스는 허용되지 않습니다
Korean,kr,Access Not Authorized,액세스는 인증되지 않습니다
Korean,kr,Access Your Medical Records,의료 기록에 액세스하십시오.
Korean,kr,Access Your Patient Portal,환자 포털에 액세스
Korean,kr,Accident,사고
Korean,kr,Account,계정
Korean,kr,"Account Id issued for NewCrop eRx service, used to separate multi-facility accounts.",계정 ID는 다기관 계정을 분리하는 데 사용되는 NewCrop ERX 서비스를 위해 발행했습니다.
Korean,kr,Account Id issued for Weno eRx service.,Weno eRx 서비스에 발급 된 계정 ID입니다.
Korean,kr,Account Id issued for Your clinics eRx service.,진료소 eRx 서비스에 발급 된 계정 ID입니다.
Korean,kr,Account is validated. Send new credentials?,계정이 확인되었습니다. 새 자격 증명을 보내시겠습니까?
Korean,kr,Account Name,계정 이름
Korean,kr,Account Name issued for NewCrop eRx service.,계정 이름은 NewCrop ERX 서비스를 위해 발행됩니다.
Korean,kr,Account Password issued for NewCrop eRx service.,NewCrop ERX 서비스를 위해 발행 한 계정의 암호입니다.
Korean,kr,Accounting,계정 관리
Korean,kr,Accounting (acct),회계 (회계)
Korean,kr,Accountings,회계
Korean,kr,Acct,Acct
Korean,kr,ACD{{anterior chamber depth}},ACD {전방 깊이}
Korean,kr,Aches,통증
Korean,kr,Acknowledge as my Electronic Signature,내 전자 서명으로 확인
Korean,kr,Acknowledgment Requested (ISA14),감사 요구 (ISA14)
Korean,kr,"Acknowledgments, Licensing and Certification",감사 라이센스 및 인증
Korean,kr,ACL,ACL
Korean,kr,ACL Administration,액세스 관리 (ACL)
Korean,kr,ACL Administration (acl),ACL 관리 (ACL)
Korean,kr,ACL Administration Not Authorized,액세스 관리 (ACL) 인증되지 않았습니다
Korean,kr,ACL Fine Granular Control,ACL 미세 제어
Korean,kr,ACL Updated Successfully,ACL이 업데이트되었습니다
Korean,kr,Acne,여드름
Korean,kr,ACO,ACO
Korean,kr,ACOM{{Anterior Segment}},아콤 {{Anterior Segment}}
Korean,kr,Act,행위
Korean,kr,Act Date,법률 일
Korean,kr,Action,행위
Korean,kr,Action Taken,취한 행동
Korean,kr,Action Taken Time,행동을 취한 시간
Korean,kr,Action User,액션 사용자
Korean,kr,Actions,행위들
Korean,kr,Activate,유효
Korean,kr,Activate CCR/CCD Reporting,CCR / CCD 보고서를 활성화
Korean,kr,activate to sort column ascending,열을 오름차순으로 정렬하려면 활성화
Korean,kr,activate to sort column descending,열을 내림차순으로 정렬하려면 활성화
Korean,kr,Activate UB04/837I Claim Support,UB04 / 837I 청구 지원 활성화
Korean,kr,Active,유효
Korean,kr,Active Alert,유효한 경고
Korean,kr,Active Alert Rules,유효한 경고 규칙
Korean,kr,Active Alerts/Reminders,유효한 경고 / 예고
Korean,kr,Active Chart,유효 차트
Korean,kr,Active Directory - Domains Base,Active Directory - 도메인 기본
Korean,kr,Active Directory - Domains Controllers,Active Directory - 도메인 컨트롤러
Korean,kr,Active Directory - Suffix Of Account,Active Directory - 계정 접미사
Korean,kr,Active Encounter,유효한 내원들
Korean,kr,Active Issue Codes,유효한 문제 코드
Korean,kr,Active lists,유효한 목록
Korean,kr,Active Messages,활성 메시지
Korean,kr,Active Patient,유효한 환자
Korean,kr,Active Plans,유효한 계획
Korean,kr,Active Templates,활성 템플릿
Korean,kr,Activity,활력
Korean,kr,Activity Type,활력 형태
Korean,kr,Actual Receipts,실제 수익
Korean,kr,Acuity,날카로움
Korean,kr,ACUITY,날카로움
Korean,kr,Acuity with Autorefraction,자동 굴절 기능이있는 시력
Korean,kr,Acuity with Contact Lenses,콘택트 렌즈가있는 시력
Korean,kr,Acuity with correction,교정 시력
Korean,kr,Acuity with Cycloplegic Refraction,Cycloplegic 굴절과 함께 시력
Korean,kr,Acuity with Manifest Refraction,매니페스트 굴절과 함께 시력
Korean,kr,Acuity with Pinhole,핀홀이있는 시력
Korean,kr,Acuity without correction,시력 교정없이 시력
Korean,kr,Acute Intoxication/Withdrawal,급성 중독/금단
Korean,kr,Acute Manifestation of a Chronic Condition,만성 질환의 급성 발현
Korean,kr,Acute on Chronic,만성에 급성
Korean,kr,Ad Reviewed,광고 검토 됨
Korean,kr,add,추가
Korean,kr,Add,추가
Korean,kr,ADD,ADD
Korean,kr,Add a Company,기업 추가하기
Korean,kr,Add a condition,상황을 추가
Korean,kr,Add a New Recall,새 리콜 추가
Korean,kr,Add a Pharmacy,약국을 추가
Korean,kr,Add all rules to plan,계획의 규칙을 추가
Korean,kr,add an event for ,이벤트를 추가
Korean,kr,Add as a new note,새 노트 추가
Korean,kr,Add as New,신규 추가
Korean,kr,Add as new patient,신규 환자 추가
Korean,kr,Add Bottom Border Row,아래쪽 테두리 행 추가
Korean,kr,Add Buttons,버튼추가
Korean,kr,"Add Buttons for Special Chars,Texts to be Displayed on Top of the Editor for inclusion to the text on a Click",특수 문자의 버튼을 추가하고 텍스트를 클릭하고 위의 텍스트에 포함 편집기의 맨 위에 표시
Korean,kr,Add Category,카테고리 추가
Korean,kr,Add Constant,상수 추가
Korean,kr,Add Context,컨텍스트 추가
Korean,kr,Add Copay,Copay 추가
Korean,kr,Add criteria,추출 추가
Korean,kr,Add Custom Button,사용자 정의 버튼 추가
Korean,kr,Add Data Bottom Border,데이터 아래쪽 테두리 추가
Korean,kr,Add desired privileges by moving items (ACOs) from the 'Inactive' column to the 'Active' column.,항목 (ACO)을 '비활성'열에서 '활성'열로 이동하여 원하는 권한을 추가하십시오.
Korean,kr,Add Diagnosis,진단을 추가
Korean,kr,Add Drug,약 추가
Korean,kr,Add encounter,만남 추가
Korean,kr,Add Encounter,원의 추가
Korean,kr,Add encounter/notes,내원 자 노트 추가
Korean,kr,Add Facility,시술 원 추가
Korean,kr,Add Field,필드 추가
Korean,kr,Add following lines to the Apache configuration file,Apache 설정에 요점을 추가
Korean,kr,Add Group,그룹 추가
Korean,kr,Add group,그룹 추가
Korean,kr,Add ICD Code,ICD 코드 추가
Korean,kr,Add Immunization,면역를 추가
Korean,kr,Add is not authorized!,추가는 허용되지 않습니다!
Korean,kr,Add Issue,문제 추가
Korean,kr,Add item to track,추적하는 항목을 추가합니다.
Korean,kr,Add Language,언어 추가
Korean,kr,Add manually,수동으로 추가
Korean,kr,Add modifiers for this field type. You may select more than one.,이 필드 유형에 수식어를 추가하십시오. 둘 이상을 선택할 수 있습니다.
Korean,kr,Add More Items,더 뉴 항목을 추가
Korean,kr,Add New,새로 추가
Korean,kr,Add new,새로 추가
Korean,kr,Add new category : ,새 범주 추가
Korean,kr,Add new certificates to the Apache configuration file,Apache 설정에 새 인증 기관을 추가
Korean,kr,Add New Component,새 구성 요소 추가
Korean,kr,Add New Components,새 구성 요소 추가
Korean,kr,Add new database,새 데이터베이스 추가
Korean,kr,Add New Group,새 그룹 추가
Korean,kr,ADD NEW GROUP,새 그룹 추가
Korean,kr,Add New Issue,새로운 문제를 추가
Korean,kr,Add new lot and transaction,신규 로트 및 과금 추가
Korean,kr,Add New Note,새 기록 추가
Korean,kr,Add new note,새 노트 추가
Korean,kr,Add New Partner,새 파트너 추가
Korean,kr,Add New Patient,신규 환자 추가
Korean,kr,ADD NEW PLAN,새 계획 추가
Korean,kr,Add Note,노트 추가
Korean,kr,Add Onsite Portal Activity,온 사이트 포털 활동 추가
Korean,kr,Add Package,패키지 추가
Korean,kr,Add Patient,환자 추가
Korean,kr,Add Patient Record,환자 기록 추가
Korean,kr,Add Prescription,처방 추가
Korean,kr,Add Procedure,시술 추가
Korean,kr,Add Provider Number,공급자 번호를 추가합니다.
Korean,kr,Add Recall,리콜 추가
Korean,kr,Add Rehab,재활을 추가
Korean,kr,Add Rule,규칙 추가
Korean,kr,Add Time to Date,날짜에 시간 추가
Korean,kr,Add to,여기에 추가
Korean,kr,Add to Medication List,투약리스트에 추가
Korean,kr,Add Top Level,레벨에 추가
Korean,kr,Add Transaction,과금 결재 추가
Korean,kr,Add User,사용자 추가
Korean,kr,Add User To Group,그룹에 사용자 추가
Korean,kr,Add.{{Additional Measurements}},{{추가 측정}}을 추가하십시오.
Korean,kr,Add/Edit eRx,추가/편집 eRX
Korean,kr,Add/Edit Patient Transaction,결제 추가 / 편집
Korean,kr,added,추가됨
Korean,kr,Adding,첨가
Korean,kr,Adding a participant,참가자 추가
Korean,kr,Adding demographics is not authorized.,기본 데이터의 추가는 인증되지 않습니다
Korean,kr,Adding item to track failed,아이템 트랙 추가에 실패
Korean,kr,Addison Syndrom,애디슨 증후군
Korean,kr,Addison Syndrome,애디슨 증후군
Korean,kr,Additional Attributes,추가 특성
Korean,kr,Additional Data Points,추가 데이터 포인트
Korean,kr,Additional Date:,추가 날짜 :
Korean,kr,Additional Diagnosis:,추가 진단
Korean,kr,Additional Findings,추가 조사 결과
Korean,kr,Additional History,추가 병력
Korean,kr,Additional history notes,추가 병력 노트
Korean,kr,Additional Info,추가 정보
Korean,kr,Additional Labs,추가 검사
Korean,kr,Additional Notes,추가 노트
Korean,kr,Additional notes for this result or recommendation,이 결과에 따른 추가 노트 혹은 권고
Korean,kr,Additional Notes:,추가 노트 :
Korean,kr,Additional Notes: ,추가 노트 :
Korean,kr,Additional X-RAY Notes:,추가 엑스선 노트 :
Korean,kr,"Additionally, the corresponding US Snomed Extension Package can be imported separately after installing the International (English version) Snomed Release",또한 해당 미국 SNOMED 확장 패키지는 인터내셔널 (영어 버전)을 설치 한 후 별도로 가져올 수 있습니다 SNOMED 출시
Korean,kr,Additonal Rx{{Additional glasses}},Additonal Rx {{추가 안경}}
Korean,kr,addonly,addonly
Korean,kr,addonly - can read and add but not modify,addonly - 읽고 추가 할 수 있지만 수정할 수는 없습니다.
Korean,kr,Addr Bk,주소록
Korean,kr,Addr Book,주소록
Korean,kr,Address,주소
Korean,kr,Address and Postal Code,주소 및 우편 번호
Korean,kr,Address and State,주소와 현
Korean,kr,Address Book,주소록
Korean,kr,Address book entry for the company performing this procedure,이 절차를 수행하는 회사의 주소록 항목
Korean,kr,Address book entry for the distributor,유통을위한 주소록 항목
Korean,kr,Address book entry for the vendor,공급 업체를위한 주소록 항목
Korean,kr,Address Book Types,주소록 유형
Korean,kr,Address Label,주소 라벨
Korean,kr,Address Labels,주소 라벨
Korean,kr,Address Only,주소 만
Korean,kr,"Address, City, State and Postal Code","주소, 도시, 주 및 우편 번호"
Korean,kr,"Address, State and Postal Code","주소, 현, 우편 번호"
Korean,kr,Address1,주소1
Korean,kr,Address2,주소2
Korean,kr,ADDRESSED TO,주소
Korean,kr,ADDRESSEE,주소
Korean,kr,ADD{{Bifocal Add}},추가 {{이중 초점 추가}}
Korean,kr,ADD{{Near Add}},{{추가 위치}} 추가
Korean,kr,Adj,조정
Korean,kr,Adj Amount,금액 조정
Korean,kr,Adjust,조정
Korean,kr,Adjustment,조정
Korean,kr,Adjustment Amt,조정 AMT의
Korean,kr,Adjustment Reasons,조정 이유
Korean,kr,Adjustment value for code ,코드의 조정 값
Korean,kr,Adjustments,조정
Korean,kr,Adm adjust,아드리아 마이신 조정
Korean,kr,Admin,관리자
Korean,kr,Admin Email Address,관리자 이메일 주소
Korean,kr,Administer Via,관리자 앞
Korean,kr,Administered,관리자
Korean,kr,Administered By,관리자
Korean,kr,Administered Date,관리 일
Korean,kr,Administered Site,관리자의 웹 사이트
Korean,kr,Administration,관리자
Korean,kr,Administration (admin),관리 (관리자)
Korean,kr,Administration Site,관리자의 웹 사이트
Korean,kr,Administrators,관리자
Korean,kr,Administrators can do anything,관리 가능한 사유
Korean,kr,Admit Date,입원일
Korean,kr,Adnexa,Adnexa
Korean,kr,Adopted Child,입양
Korean,kr,Adult Weight Screening and Follow-Up,성인 체중 screening 과 추적
Korean,kr,Adult Weight Screening and Follow-Up (CQM),성인 체중 screening 과 추적(CQM)
Korean,kr,Advance Directive,사전 지시
Korean,kr,Advance Directives,사전 지시
Korean,kr,Advance Directives Warning,고급 지시문 경고
Korean,kr,Advance Options,사전 옵션
Korean,kr,Advanced,고급
Korean,kr,Advanced - Finer Access Control,고급 - 더 세밀한 액세스 제어
Korean,kr,Advice,조언
Korean,kr,Afar,멀리
Korean,kr,Affect normal,정상적인 영향을 미치는
Korean,kr,Afrikaans,아프리칸스어
Korean,kr,after,후
Korean,kr,after (PM),이후 (PM)
Korean,kr,After hrs calls,시간 통화 후
Korean,kr,"After migration from the old password mechanisms where passwords are stored in the users table without salt is complete, this flag should be set to false so that only authentication by the new method is possible",암호는 소금없이 users 테이블에 저장되어있는 이전 암호 메커니즘에서 마이그레이션을 완료 한 후 새로운 방식에 의한 인증 만 가능하도록이 플래그를 false로 설정해야합니다
Korean,kr,"After performing above configurations, import the admin client certificate to the browser and restart Apache server (empty password).",위의 설정을 한 후 브라우저에 관리 클라이언트 인증서를 가져오고 Apache 서버 (빈 암호)를 다시 시작합니다.
Korean,kr,"After saving the PDF, click [View Log] to check for errors.",PDF 파일을 저장 한 후 오류를 확인하고 로그보기를 클릭합니다.
Korean,kr,"After saving the TEXT file(s), click [View Log] to check for errors.",텍스트 파일 (들)을 저장 한 후 오류를 확인하기 위해 [로그보기]를 클릭합니다.
Korean,kr,"After saving your batch, click [View Log] to check for errors.",당신의 배치를 저장 한 후 오류를 확인하기 위해 [로그보기]를 클릭합니다.
Korean,kr,"After that the Match column will show the selected patient ID, or 0 to create.",그 치열을 만드는 데 선택된 환자 ID 또는 0이 표시됩니다.
Korean,kr,"After the information is correctly entered, click the Save button.",정보를 올바르게 입력 한 후 [저장] 버튼을 클릭합니다.
Korean,kr,"After Uploading click the button ""Import""","버튼을 클릭하여 업로드 한 후 ""가져 오기"""
Korean,kr,"After Uploading, click ""Import""","업로드 후 ""가져 오기""를 클릭하십시오."
Korean,kr,AfterCare Planning,사후 관리 계획
Korean,kr,Again,다시
Korean,kr,Age,나이
Korean,kr,Age By,나이로
Korean,kr,Age Category,나이 범주
Korean,kr,Age data is out of range.,나이가 범위를 벗어남
Korean,kr,Age Display Format,나이표시 형태
Korean,kr,"Age format for ""age from"" is not valid",나이 표시 형이 이상합니다
Korean,kr,"Age format for ""age up to"" is not valid",나이 제한이 이상합니다
Korean,kr,Age From,하한 연령
Korean,kr,Age in Years for Display Format Change,나이 표시 형식의 변경
Korean,kr,Age max,최고 연령
Korean,kr,Age min,최저 연령
Korean,kr,Age Range,연령대
Korean,kr,Aging Columns,에이징 컬럼
Korean,kr,Aging Columns:,에이징 라인 :
Korean,kr,Akan,아칸 족어
Korean,kr,Albanian,알바니아인
Korean,kr,Alcohol,알콜
Korean,kr,Alcohol consumption,알콜 소비
Korean,kr,Alcohol Use,음주 경력
Korean,kr,Alert,경보
Korean,kr,Alert Count,경고 횟수
Korean,kr,Alert on and after birthday,생일 및 그 이후의 경고
Korean,kr,Alert on patient birthday,환자 생일에 대한 경고
Korean,kr,Alert only on birthday,생일에만 알림
Korean,kr,Alert Time,알림 시간
Korean,kr,Alerts,경고
Korean,kr,Alerts Log,경고 로그
Korean,kr,Alerts/Reminders,알림 / 알림
Korean,kr,Alert{{Mental Status}},알리미 {{정신 상태}}
Korean,kr,ALEUT,알 류트 족
Korean,kr,All,전체
Korean,kr,ALL,전체
Korean,kr,all,모든
Korean,kr,All (Collated Format A),모든 (부씩 포맷 A)
Korean,kr,All (Collated Format B),모든 (부씩 형식 B)
Korean,kr,All (Cumulative),모든 (누계)
Korean,kr,All Alerts,모든 알리미
Korean,kr,All Automated Measure Calculations (AMC),모든 자동 측정 계산 (AMC)
Korean,kr,All Categories,모든 카테고리
Korean,kr,All Clinical Quality Measures (CQM),모든 임상 품질 척도 (CQM)
Korean,kr,All Codes,전체 코드
Korean,kr,All Dates,모든 날짜
Korean,kr,All Day,하루 종일
Korean,kr,All day event,하루 종일 이벤트
Korean,kr,"All demographics fields, with search and duplication check",찾기 및 중복 체크를 가진 모든 인구 통계 필드
Korean,kr,All Encounters,모든 만남
Korean,kr,All Facilities,모든 시설
Korean,kr,All Injuries/Problems/Issues,모든 부상 / 문제 / 과제
Korean,kr,All Languages Allowed,모든 언어 허가됨
Korean,kr,All Messages,모든 메시지
Korean,kr,All Official Clinical Quality Measures (CQM) Measure Groups,모든 공식 임상 품질 척도 (CQM) 측정 값 그룹
Korean,kr,All or part of the first name,첫이름의 전체 혹은 부분
Korean,kr,All or part of the last name,마지막 이름의 전체 혹은 부분
Korean,kr,All or part of the organization,조직의 전체 또는 일부
Korean,kr,All Patients,모든 환자
Korean,kr,All Products,모든 제품
Korean,kr,All Providers,모든 공급자
Korean,kr,All Reviewed and Negative:,모든 검토 자 및 음성
Korean,kr,All set. Click Send Request below to finish registration,모든 설정. 등록을 마치려면 아래 요청 보내기를 클릭하십시오.
Korean,kr,All Topics,전체 주제
Korean,kr,All Users,전체 사용자
Korean,kr,Allergic,알레르기 질환
Korean,kr,Allergic to,알레르기 반응
Korean,kr,Allergies,알레르기
Korean,kr,Allergies:,알레르기
Korean,kr,Allergy,알레르기
Korean,kr,Allergy import successfully completed,알레르기 가져 오기가 성공적으로 이루어졌습니다
Korean,kr,Allergy Issue List,알레르기 문제 목록
Korean,kr,Allergy Reaction,알레르기 반응
Korean,kr,ALLERGY WARNING,알레르기 경고
Korean,kr,Allergy Warning,알레르기 경고
Korean,kr,Allocate,할당
Korean,kr,Allow,허가됨
Korean,kr,Allow Administrators to Delete Patients,관리자가 환자를 삭제하도록 허용
Korean,kr,Allow all available languages as choices on menu at login.,로그인시 선택에 의해 모든 언어가 허가됨
Korean,kr,Allow Check In before the appointment's time.,약속 시간 전에 체크인을 허용하십시오.
Korean,kr,Allow creation of claims containing diagnoses but not procedures or charges. Most clinics do not want this.,진단이 아니라 절차와 요금을 포함한 특허 청구 범위의 작성을 허가합니다. 대부분의 클리닉은 이것을하고 싶지 않다.
Korean,kr,Allow Debugging Language,허용 디버깅 언어
Korean,kr,Allow Early Check In,조기 체크인 허용
Korean,kr,Allow Email,메일 허가됨
Korean,kr,Allow email messages?,메일 내용 허가되었나요?
Korean,kr,Allow Email?,메일 허가되었나요?
Korean,kr,Allow Encounter Claims,만남 청구 허용
Korean,kr,Allow Health Info Exchange,건강 정보 교환 허용
Korean,kr,Allow Health Information Exchange,건강정보 교환 허가됨
Korean,kr,Allow Immunization Info Share,예방 접종 정보 공유 허용
Korean,kr,Allow Immunization Info Sharing,예방주사 정보 교환
Korean,kr,Allow Immunization Registry Use,면역 레지스트리 사용 허용
Korean,kr,Allow institutional claims support.,기관 c 허용
Korean,kr,Allow Mail Message,메일 메시지 허가
Korean,kr,Allow multiple databases,여러 데이터베이스 허용
Korean,kr,Allow Notice,공지 허용
Korean,kr,Allow Patient Flow Board to Select Patients for Drug Testing.,환자 검사위원회가 약물 검사를 위해 환자를 선택할 수있게하십시오.
Korean,kr,Allow Patient Portal,환자의 포털 허용
Korean,kr,Allow Postal Mail,우편물 허용
Korean,kr,Allow SMS,SMS 허가
Korean,kr,Allow SMS (text messages)?,SMS 허가(텍스트) ?
Korean,kr,Allow Statement Exclusions from Printing,인쇄에서 명령문 제외 허용
Korean,kr,Allow submitted events to be made active instantly?,추가 이벤트를 즉시 적용 하시겠습니까?
Korean,kr,Allow telephone messages?,자동 응답을 허용 하시겠습니까?
Korean,kr,Allow to use with multiple database,다중 데이터베이스와 함께 사용하도록 허용
Korean,kr,Allow users to publish Global Events,사용자가 글로벌 이벤트를 공개 할 수 있도록
Korean,kr,Allow users to publish Personal Calendars,사용자가 개인 일정을 공개 할 수 있도록
Korean,kr,Allow Version 2 Onsite New Patient Registration Widget,버전 2 현장 방문 신규 환자 등록 위젯 허용
Korean,kr,Allow Version 2 Onsite Online Payments,버전 2 현장 온라인 지불 허용
Korean,kr,Allow Version 2 Onsite Patient to make payments online.,버전 2 현장 환자가 온라인으로 지불하도록 허용하십시오.
Korean,kr,Allow Version 2 Patients to Reset Credentials,버전 2 환자가 자격 증명을 재설정하도록 허용
Korean,kr,Allow Voice Call,음성 통화 허용
Korean,kr,Allow Voice Message,자동 응답 허용
Korean,kr,Allowed,허가됨
Korean,kr,Allowed Languages,언어들 허가됨
Korean,kr,Allowed to discount prices (in Fee Sheet or Checkout form) (disc),가격 할인 (요금 표 또는 체크 아웃 양식) (디스크)
Korean,kr,Allowed(c),허가
Korean,kr,Allows E-Sign on the entire encounter,통원에게 전자 서명 허용
Korean,kr,Allows E-Signing Individual Forms,E- 서명 개별 양식을 허용합니다
Korean,kr,Allows Mail,메일 허용
Korean,kr,Allows Voice msgs,부재중 허가
Korean,kr,already exists,이미 존재함
Korean,kr,already exists.,이미 존재함
Korean,kr,Already registered,이미 등록
Korean,kr,"Already used, choose another identifier",이용되었습니다. 다른 식별자를 선택하십시오
Korean,kr,"Already used, choose another title",이용되었습니다. 다른 제목을 선택하세요
Korean,kr,Alt Address,다른 주소
Korean,kr,alter,변경
Korean,kr,Alternate Cover Test,대체 커버 테스트
Korean,kr,"Alternatively, you may use the search page to upload an electronic remittance (X12 835) file that you have obtained from your payer or clearinghouse.  You can do this by clicking the Browse button and selecting the file to upload, and then clicking Search to perform the upload and display the corresponding invoices.  In this case the other parameters mentioned above do not apply and will be ignored.  Uploading saves the file but does not yet process its contents -- that is done separately as described below.","다른 방법으로, 당신은 당신의 지불 또는 클리어링 하우스에서 입수 한 전자 송금 (X12 835) 파일을 업로드하는 검색 페이지를 사용할 수 있습니다. 찾아보기 단추를 클릭하여 업로드 할 파일을 선택하고 업로드를 실행하면 해당 인보이스를 확인하려면 검색을 클릭하여 작업을 수행 할 수 있습니다. 이 경우 위의 다른 매개 변수가 적용되지 않고 무시됩니다. 업로드 파일이 저장되지만 아직 그 내용은 처리되지 않습니다 - 아래와 같이 별도로 이루어지고있다."
Korean,kr,AM,AM
Korean,kr,AM Program,AM 프로그램
Korean,kr,Amblyopia,약시
Korean,kr,Ambulance - Air or Water,구급차 - 공기 또는 물
Korean,kr,Ambulance - Land,구급차 - 땅
Korean,kr,Ambulatory Surgical Center,외래 수술 센터
Korean,kr,AMC,AMC
Korean,kr,AMC Tracking,AMC의 추적
Korean,kr,AMC-2011,AMC-2011
Korean,kr,AMC-2014,AMC-2014
Korean,kr,AMC-2014 Stage I,AMC-2014 1 단계
Korean,kr,AMC-2014 Stage II,AMC-2014 2 단계
Korean,kr,AMD{{age related macular degeneration}},AMD {나이 관련 황반변 성}}
Korean,kr,Amend Existing Note,기존의 노트북을 개정
Korean,kr,Amendment From,에서 개정
Korean,kr,Amendment List,수정안 목록
Korean,kr,Amendment Status,개정 상태
Korean,kr,Amendments,개정
Korean,kr,"Amendments (write,addonly optional)","수정안 (쓰기, 선택 추가)"
Korean,kr,Amendments for,에 대한 개정
